,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Last Name,Author First Name,Other Authors,Newspaper/Publisher,Publication Year,Article Title,"Publication Location (City, County, State) Where was the article published? ","Contextual Location (City, County, State) Where is the article talking about? If mutliple locations are referenced, list them all. If national, write national","News Source (e.g. Google, Ethnic News Watch, etc)",Date of Publication,"Page # (if applicable, if not, write N/A)",Type,Link (paste to Google drive upload),MMIWG mentioned (1=y 0=n),"discussion of MMIWG movement (1,0)","specifc case (1, 0)","multiple cases (1, 0)","coverage of legal protection or policy (1,0)","News article (1,0)","video/audio (1,0)","national (1,0)","regional (1,0)","local (1,0)","family or friends of victim referenced (1, 0)","details on victim life (1, 0)","details on perpetrator (1, 0)",# of govt officials referenced,# of ordinary people referenced,# of experts referenced ,# of id male,# of id female,# of gender unID
Donovan-Smith,Orion,,The Moscow-Pullman Daily News,2023,Eastern Washington in focus for missing and slain Indigenous people - New resources are being aimed at the Northwest as part of an effort to address the crisis,"Moscow, Latah, ID","Eastern WA; OR; Yakama Reservation; Colville Reservation; Spokane Reservation; Kalispel Reservation; Portland, Multnomah, OR; National",Access World News,July 8,N/A,Newspaper,https://drive.google.com/file/d/1iIhhl2bH32itI1DZh4H7Yj9v4gndkioB/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,
Kuipers,Anthony,,The Moscow-Pullman Daily News,2023,Students start database for Indigenous victims - UI culture department logging names of missing and murdered as a way of defining the problem,"Moscow, Latah, ID","Moscow, Latah, ID; National",Access World News,April 21,N/A,Newspaper,https://drive.google.com/file/d/1Klv6va3x7nfrD8Ps6RfjKJ0eBqOXLmAT/view?usp=drive_link,1,0,0,1,0,,,,,,0,0,0,,,,,,
,,,The Moscow-Pullman Daily News,2021,"Indigenous women, domestic abuse the focus of forum","Moscow, Latah, ID",Canada; National,Access World News,April 2,N/A,Newspaper,https://drive.google.com/file/d/13f0LxAfC5WW4e6hgztRuorgwY6bSaj2S/view?usp=drive_link,1,0,0,1,1,,,,,,0,0,0,,,,,,
,,,The Moscow-Pullman Daily News,2020,Spalding Visitor Center discussion to focus on violence against indigenous women,"Moscow, Latah, ID","Lapwai, Nez Pearce, ID",Access World News,March 10,N/A,Newspaper,https://drive.google.com/file/d/1BGtwZ6Hh29d6R08hCGnl1frslmll33Z_/view?usp=drive_link,1,0,0,0,0,,,,,,0,0,0,,,,,,
Spence,William L.,,The Moscow-Pullman Daily News,2020,"Troy s resolution would call attention to missing, murdered indigenous people - Genesee representative introduces bill during committee; other north central Idaho lawmakers also pushing their legislation","Moscow, Latah, ID",ID; National,Access World News,February 13,N/A,Newspaper,https://drive.google.com/file/d/1gn8b6XBd1yD5ovZQq14fFIjdsAK7XbKo/view?usp=drive_link,1,1,0,1,1,,,,,,0,0,0,,,,,,
MyKel,Johnson,,The Moscow-Pullman Daily News,2018,The pursuit of equality,"Moscow, Latah, ID","Pullman, Whitman, WA",Access World News,October 12,N/A,Newspaper,https://drive.google.com/file/d/1WkQlzVHXuANQqZG5lvQTHVaE8L6GZGTR/view?usp=drive_link,1,0,0,1,0,,,,,,0,0,0,,,,,,
,,,The Post Register,2025,Demonstration for missing and murdered indigenous women coming to I.F.,"Idaho Falls, Bonneville, ID","Idaho Falls, Bonneville, ID; Pocatello, Bannock, ID",Access World News,May 2,A5,Newspaper-Image Edition,https://drive.google.com/file/d/1iAIloWD6dVHIfvhN_-w8F_IaCDmakNvs/view?usp=drive_link,1,1,0,1,0,,,,,,1,0,0,,,,,,
Moseley-Morris,Kelcie,,The Post Register,2021,Boise state report says 75% of missing Indigenous people in Idaho are women,"Idaho Falls, Bonneville, ID",ID; National; MT; AK; SD,Access World News,November 2,A5,Newspaper-Image Edition,https://drive.google.com/file/d/1WeB20uR4YFzOSVvpQeFGfuUPtr34IhKJ/view?usp=drive_link,1,0,0,1,1,,,,,,1,1,0,,,,,,
Brown,Nathan,,The Post Register,2020,"At Bart Davis' urging, Senate panel OKs missing, murdered, indigenous resolution ","Idaho Falls, Bonneville, ID",ID; AK; National; MT; UT; NV; OR; WA; Fort Hall Indian Reservation,Access World News,March 12,A6,Newspaper-Image Edition,https://drive.google.com/file/d/1ipq5RS3PXd6hGS1DVQkFamMiuIQdlwGb/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
Rowe,Megan,,The Post Register,2019,Native high schooler uses state track meet to raise awareness for missing and murdered women,"Idaho Falls, Bonneville, ID","WA; NM; Cheney, Spokane, WA",Access World News,June 1,A7,Newspaper-Image Edition,https://drive.google.com/file/d/1V1WOrALfsdJBd1NYYHhJ8k7sg4J1zzvF/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associated Press State Wire: Idaho ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Associated Press State Wire: Idaho ,2023,Washington creates missing Indigenous people cold case unit ,"Boise, Ada County, ID","Seattle, King County, Washington; Washington State",,"April 28, 2023",N/A,Newspaper,https://drive.google.com/file/d/18-eEYN5KU_irBtqeriOXsI_LvodwB5gH/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
Brownstone ,Sydney ,,Associated Press State Wire: Idaho ,2020,Seattle treatment center closing doors after 30 years ,"Boise, Ada County, ID","Seattle, King County, WA",,"January 25, 2020",N/A,Newspaper,https://drive.google.com/file/d/1JGGzP-qcFTHc8qWaFIpf5RbPjLv2DD3q/view?usp=share_link,1,1,1,0,0,,,,,,1,1,0,,,,,,
Sewell,Cynthia ,,Associated Press State Wire: Idaho ,2019,"Scope of missing, murdered indigenous women in Idaho unknown ","Boise, Ada County, ID","Boise, Ada County, ID; Idaho ",,"December 21, 2019",N/A,Newspaper,https://drive.google.com/file/d/15mwAhiyzPUhvTXMl8d2wj_Ypfwhqpq-n/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Mckenzie ,Victoria ,,Associated Press State Wire: Idaho ,2019,"In Nome, Alaska, review of rape 'cold cases' hits a wall ","Boise, Ada County, ID","Nome, Nome Census Area, AK",,"December 21, 2019",N/A,Newspaper,https://drive.google.com/file/d/17SlTkbI4T03CgHRlWwJmNUQtJLew24HT/view?usp=share_link,1,1,1,1,1,,,,,,0,1,1,,,,,,
Goodell,Emily ,,Associated Press State Wire: Idaho ,2019,My sister didn't deserve this': Womn says of slaying ,"Boise, Ada County, ID","Yakama Nation Reservation, Yakima County, Washington State",,"September 1, 2019",N/A,Newspaper,https://drive.google.com/file/d/13lby2bXj282PIiFxoPLr431l1l5TDitd/view?usp=share_link,1,0,1,1,0,,,,,,1,1,1,,,,,,
Fonseca,Felicia ,Russell Contreras ,Associated Press State Wire: Idaho ,2017,Most American Indian tribes opt out of federal death penalty ,"Boise, Ada County, ID","Flagstaff, Cococino County, AZ",,"August 21, 2017",N/A,Newspaper,https://drive.google.com/file/d/1WhgxTRA4qEGfj07kjFN_yiWunmVmTPRV/view?usp=share_link,1,0,1,1,1,,,,,,1,1,1,,,,,,
,,,Associated Press State Wire: Idaho ,2016,Searchers in Montana look for 4-year-old girl ,"Boise, Ada County, ID","Wolf Point, Roosevelt County, MT ",,"February 27, 2016",N/A,Newspaper,https://drive.google.com/file/d/10YcZzleerCnS6pMbzkkHa6EaDriT6UPb/view?usp=share_link,1,0,1,0,0,,,,,,0,1,1,,,,,,
Fonseca,Felicia ,,Associated Press State Wire: Idaho ,2011,Feds aim to combat family violence on reservations ,"Boise, Ada County, ID",National ,,"July 23, 2011",N/A,Newspaper,https://drive.google.com/file/d/1rG3m-oED_m8RRNDqhdMuxzjR6GMTFOwS/view?usp=share_link,0,1,0,1,1,,,,,,1,0,0,,,,,,
Bingham County Chronicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miller,John,,Bingham County Chronicle ,2019,"LONG, SAD ROAD - Prayer walk remembers missing, murdered","Blackfoot, Bingham County, ID","Fort Hall, Bannock/Bingham County, ID",,"June 9, 2019",N/A,Newspaper,https://drive.google.com/file/d/1Mz984qYN5Z9LAJzlB0mXL_39_Kre6pBw/view?usp=share_link,1,1,1,1,1,,,,,,1,0,1,,,,,,
Miller,John ,,Bingham County Chronicle ,2019,Tears Like A River - Sho-Ban presentation remembers the missing ,"Blackfoot, Bingham County, ID","Fort Hall, Bannock/Bingham County, ID",,"May 5, 2019",N/A,Newspaper,https://drive.google.com/file/d/1NikeAunB4wwwqhFkPjD4rD20BdaKLj2S/view?usp=share_link,1,1,1,1,0,,,,,,1,1,1,,,,,,
Boise Weekly (ID),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huff,Jeanne ,,Boise Weekly ,2022,Inspiration Alley is an inspiration to all,"Boise, Ada County, ID","Boise, Ada County, ID",,"August 25, 2022",18,Newspaper,https://drive.google.com/file/d/1KBH5qXkw_RRr6Qn_i4RnBRX6cxLnx_2i/view?usp=share_link,1,0,0,1,0,,,,,,0,1,0,,,,,,
Bringhurst,Tracy ,,Boise Weekly ,2021,Critical Race Theory Seminar:,"Boise, Ada County, ID","Boise, Ada County, ID",,"December 1, 2021",10,Newspaper,https://drive.google.com/file/d/1diF2ELPJoBCdR3o4Bpo43Lck0I2KaUG8/view?usp=share_link,1,1,0,0,1,,,,,,0,1,0,,,,,,
Berry ,Harrison ,,Boise Weekly ,2018,"Idaho Women's March 2018 Focused on Inclusion, Continued Activism ","Boise, Ada County, ID","Boise, Ada County, ID",,"January 22, 2018",N/A,Newspaper,https://drive.google.com/file/d/1YdpKljIF1DH9S4Cm_Sg6T_ZZ8mmukvXN/view?usp=share_link,1,1,0,1,0,,,,,,0,0,0,,,,,,
"Bonner County Daily Bee (Sandpoint, ID)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardy,Madison,,Bonner County Daily Bee,2020,Beyond Awareness ,"Sandpoint, Bonner County, ID",National; North America,,"December 3, 2020",N/A,Newspaper,https://drive.google.com/file/d/1nvCAc__e4eoihrp8Gq2eVoHOLsdUdjc6/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
Passaro ,Jennifer,,Bonner County Daily Bee,2020,Trafficking: Missing and murdered ,"Sandpoint, Bonner County, ID",Idaho; National ,,"February 11, 2020",N/A,Newspaper,https://drive.google.com/file/d/14SQG_oexQdJFWtHESKAwE0c8-m2G721P/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
