Author Last Name,Author First Name,Other Authors,Newspaper/Publisher,Publication Year,Article Title,"Publication Location (City, County, State) Where was the article published? ","Contextual Location (City, County, State) Where is the article talking about? If mutliple locations are referenced, list them all. If national, write national","News Source (e.g. Google, Ethnic News Watch, etc)",Date of Publication,"Page # (if applicable, if not, write N/A)",Type,Link (paste to Google drive upload),MMIWG mentioned (1=y 0=n),"MMIWG defined (1,0)","specific case (1,0)","MMIWG mvmnt (1,0)","coverage of legal protection (1,0)","News article (1,0)","video/audio (1,0)","material culture (1,0)","international (1,0)","national (1,0)","regional (1,0)","local (1,0)","Native (1,0)",# of sources,# of govt officials,# of ordinary people,# of experts,# of id male,# of id female,# of gender unID,"(Native voice) token/soundbite (1,0)","centers importance of MMIWG (1,0)","discussion of law impact (1,0)",word count,"article series (1,0)"
N/A,N/A,,Yakima Herald Republic ,2021,Opinion: DOJ needs to hear firsthand about the vanished,"Yakima, Yakima County, WA","Yakama Reservation, Yakima County, WA, National",Access World News,14-Dec-21,N/A,Newspaper,https://drive.google.com/file/d/1XEvG7enck0l1WCJXBunm1HvuXiHhySly/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,DOJ official to visit Washington State to better address crisis of missing and murdered Indigenous people,"Yakima, Yakima County, WA","Yakama Reservation, Yakima County, WA, Washington State, National ",Access World News,9-Dec-21,N/A,Newspaper,https://drive.google.com/file/d/1bDlzCfEepL_f4--5bOyEdFstB24KXdPx/view?usp=share_link,1,0,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,Breaking the silence: Washington task force on missing Indigenous people has big task ahead,"Yakima, Yakima County, WA","Auburn, King County, WA, Yakama Reservation, Yakima County, WA, Washington State",Access World News,5-Dec-21,N/A,Newspaper,https://drive.google.com/file/d/1nYndKWjjmB1BUE67poCQDmiNGudaMhz5/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,Washington task force on missing Indigenous people has big task ahead,"Yakima, Yakima County, WA","Auburn, King County, WA, Yakama Reservation, Yakima County, WA, Washington State",Access World News,5-Dec-21,N/A,Newspaper,https://drive.google.com/file/d/1kcn8QxbzdNLwZ06zHSygfLo-aDX0k8a-/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Hume,Wendelin,,Yakima Herald Republic ,2021,Column: Spotty data and media bias delay justice for missing and murdered Indigenous people,"Yakima, Yakima County, WA",National,Access World News,27-Nov-21,N/A,Newspaper,https://drive.google.com/file/d/1-0t3Cuo1feY1SFAhvevc68DojQnXFtUu/view?usp=share_link,1,1,1,1,1,,,,,,0,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,Yakama Nation to co-host first meeting of state missing Indigenous people task force,"Yakima, Yakima County, WA","Yakama Reservation, Yakima County, WA, Washington State",Access World News,1-Nov-21,N/A,Newspaper,https://drive.google.com/file/d/19xdXVBNuYyQraMpyQIY1xsUEsrzTyqfg/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,"Last seen in Kennewick's Walmart, family holds out hope of finding Freda Knowshisgun","Yakima, Yakima County, WA","Kennewick, Benton County, WA, Washington State",Access World News,31-Oct-21,N/A,Newspaper,https://drive.google.com/file/d/1pr2qH9eCffBQnaje_YMYgARBhGwFyVgW/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Epperly,Emma,Amber D. Dodd,Yakima Herald Republic ,2021,Maddesyn George case: Colville tribal woman to be sentenced in mid-November for controversial killing,"Yakima, Yakima County, WA","Spokane, Spokame County, WA",Access World News,20-Oct-21,N/A,Newspaper,https://drive.google.com/file/d/1S_TcxMzoK6gsMOJPa2dwDeEN3r-pmZFp/view?usp=share_link,1,1,1,0,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,"Investigators plan to exhume, identify remains found more than 33 years ago in Yakima County","Yakima, Yakima County, WA","Yakama Reservation, Yakima County, WA",Access World News,12-Sep-21,N/A,Newspaper,https://drive.google.com/file/d/1-ClKQq3rdyQtBu0iAiZr_jjd9y_Dgchm/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,CWU transfers human remains to medical examiner after concerns they were improperly stored,"Yakima, Yakima County, WA","Kittitas County, King County, WA",Access World News,22-Aug-21,N/A,Newspaper,https://drive.google.com/file/d/1GrpjjRAJ5mN0Lt81Wfwlg_2m7Llk4Esv/view?usp=share_link,1,0,1,1,0,,,,,,1,1,0,,,,,,,,,,,,
Dodd,Amber D.,,Yakima Herald Republic ,2021,Asa K. Washines from Yakama Nation announced as member of Missing and Murdered Indigenous Women and People Task Force,"Yakima, Yakima County, WA",Washington State,Access World News,13-Aug-21,N/A,Newspaper,https://drive.google.com/file/d/1CSLjxiKDlkJ4p-_hRsv0kuzTPJIe3EnT/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,Those who knew missing and murdered men and boys on Yakama reservation speaking out more,"Yakima, Yakima County, WA","Yakama Reservation, Yakima County, WA",Access World News,4-Jul-21,N/A,Newspaper,https://drive.google.com/file/d/1ybAD-WkjywOviRnF5Gza9vtEAmeRBpVF/view?usp=share_link,1,1,1,1,0,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,"Arrests made in Native woman's murder, but pain persists","Yakima, Yakima County, WA","Yakama Reservation, Yakima County, WA",Access World News,30-May-21,N/A,Newspaper,https://drive.google.com/file/d/1axG531RQ2qpOTQMk9krASARG1kBekM8x/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,"State task force will assess causes behind missing, murdered Indigenous women ","Yakima, Yakima County, WA",Washington State,Access World News,5-May-21,N/A,Newspaper,https://drive.google.com/file/d/11hB2fJxogXr94g2PjmSyPv7e1YIKeSrj/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Staff Writer,,,Yakima Herald Republic ,2021,"The Vanished: List of those missing, murdered on and near Yakama Reservation ","Yakima, Yakima County, WA","Wapato, Yakima County, WA, Yakama Reservation, Yakima County, WA",Access World News,5-May-21,N/A,Newspaper,https://drive.google.com/file/d/1FazR7faUzQ-oDf4JCRHSGK1IwMiGuqRo/view?usp=share_link,1,0,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,Young Montana mother who was killed led day on May 5 to honor missing Indigenous women ,"Yakima, Yakima County, WA","Lame Deer, Rosebud County, MT, Yakama Reservation, Yakima County, WA, Washington State, MT",Access World News,5-May-21,N/A,Newspaper,https://drive.google.com/file/d/11FfJl9_RyEqKJiVS3fHFvN9Zs4MyNQo2/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,"Relatives, friends of missing and murdered Indigenous women gather to honor them","Yakima, Yakima County, WA","White Swan, Yakima County, WA, Yakama Reservation, Yakima County, WA",Access World News,5-May-21,N/A,Newspaper,https://drive.google.com/file/d/1_E9sL6CviMKCFzDObW7dqVmhKAfOwc_k/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,"Organizations plan events centered on May 5 to remember, honor missing and murdered Indigenous women and girls ","Yakima, Yakima County, WA","Toppenish, Yakima County, WA, Yakama Reservation, Yakima County, WA",Access World News,28-Apr-21,N/A,Newspaper,https://drive.google.com/file/d/1K4HvA_LaGhU9wxbdG4VCr3wubiZBW1I-/view?usp=share_link,1,1,1,1,0,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,"Marking a birthday and hoping for answers, justice","Yakima, Yakima County, WA","Toppenish, Yakima County, WA",Access World News,14-Apr-21,N/A,Newspaper,https://drive.google.com/file/d/1p__Gb_Xm-Czpm_0g5nnK-paDfmgDRkGQ/view?usp=share_link,1,1,1,1,0,,,,,,1,1,0,,,,,,,,,,,,
Meyers,Donald W. ,,Yakima Herald Republic ,2021,"Second gentleman Douglas Emhoff points to vaccine efforts in Yakima, Yakama Nation as an example","Yakima, Yakima County, WA","Yakima, Yakima County, WA",Access World News,6-Apr-21,N/A,Newspaper,https://drive.google.com/file/d/1QooWV2MvDnPQUiRKgoXHBOHe0yl2ZvtB/view?usp=share_link,1,0,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,Newhouse renews plea for cold case task office in Yakima focused on missing and murdered Indigenous women ,"Yakima, Yakima County, WA","Yakima, Yakima County, WA, Washington State",Access World News,29-Mar-21,N/A,Newspaper,https://drive.google.com/file/d/1d-hWCA2oYP4SaM-O9-8-enP6ZwcG6OCz/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,"More awareness of missing and murdered Indigenous people, but advocates say more action is needed","Yakima, Yakima County, WA","Yakama Reservation, Yakima County, WA, Washington State, National ",Access World News,7-Mar-21,N/A,Newspaper,https://drive.google.com/file/d/1ivjBZ5E9M_pq_MOKbpu8bo8WEkd8Tpfs/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2021,State track champion who runs for missing and murdered Indigenous women will compete for UW,"Yakima, Yakima County, WA","Seattle, King County, WA, Yakama Reservation, Yakima County, WA",Access World News,16-Jan-21,N/A,Newspaper,https://drive.google.com/file/d/1OXnBdOfH36ndgQMGKs_0jMcvsQJqEfms/view?usp=share_link,1,1,1,1,0,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2020,We just want to know what happened:' Questions remain in mysterious death of Yakama woman,"Yakima, Yakima County, WA","Yakima County, WA, National ",Access World News,27-Dec-20,N/A,Newspaper,https://drive.google.com/file/d/1KOOQWJ2SpsPvFvhqjlVWqIq-h8BwQSVe/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2020,"Newhouse requests Central Washington office for missing, murdered Indigenous people","Yakima, Yakima County, WA","Yakima, Yakima County, WA, National ",Access World News,8-Dec-20,N/A,Newspaper,https://drive.google.com/file/d/1PVxHNnuoV_bTTCDr8dXuFiFnw1zfd_PH/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2020,"Better data, more leads: State patrol effort on missing Native people starts to yield results ","Yakima, Yakima County, WA",Washington State,Access World News,6-Dec-20,N/A,Newspaper,https://drive.google.com/file/d/1h37EVzSWJ4HvrgAk5BX-MuzOz5st0vDg/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2020,"Family, friends of Rosenda Strong mark two years since she disappeared, bring awareness of missing and murdered Native people","Yakima, Yakima County, WA","Toppenish, Yakima County, WA, Yakama Reservation, Yakima COunty, WA",Access World News,3-Oct-20,N/A,Newspaper,https://drive.google.com/file/d/1iGxibUexX9ZmH8w4zIDHirvsa0OHromx/view?usp=share_link,1,1,1,1,0,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2020,Two pieces of legislation addressing MMIW crisis on their way to the White House,"Yakima, Yakima County, WA",National,Access World News,21-Sep-20,N/A,Newspaper,https://drive.google.com/file/d/1D2n-anNx76Ucoih6XKN58YdlWxzSs8VA/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Yakima Herald-Republic editorial board,,,Yakima Herald Republic ,2020,Opinion: House should vote soon on MMIW bills,"Yakima, Yakima County, WA","Yakima County, WA, National ",Access World News,30-Jul-20,N/A,Newspaper,https://drive.google.com/file/d/1osSyTapJNqS3qYtfJ2j-73so2FSd9Ty8/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2020,Bipartisan letter to leaders of the U.S. House urges action on MMIW legislation before August recess,"Yakima, Yakima County, WA",National,Access World News,18-Jul-20,N/A,Newspaper,https://drive.google.com/file/d/13oh9cOHrU6iuK63gpRGvs3O8vw5NlbnB/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2020,May 5 is a day to remember missing and murdered indigenous women ,"Yakima, Yakima County, WA","Toppenish, Yakima County, WA, Yakama Reservation, Yakima County, WA",Access World News,5-May-20,N/A,Newspaper,https://drive.google.com/file/d/1KsgH7BUVJnJ4XbagT5E5SZi2MeR6ehEP/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Yakima Herald-Republic editorial board,,,Yakima Herald Republic ,2020,"Editorial: For more Yakima Herald-Republic coverage of missing and murdered indigenous women and girls, go to https://www.yakimaherald.com/vanished","Yakima, Yakima County, WA","Yakama Reservation, Yakima County, WA",Access World News,13-Mar-20,N/A,Newspaper,https://drive.google.com/file/d/13--A1lJ2P9rD70fcu3pzAFXSY7Tcb-_w/view?usp=share_link,1,1,1,1,0,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2020,Social media campaign honors Yakima Valley women for their contributions,"Yakima, Yakima County, WA","Yakima, Yakima County, WA",Access World News,11-Mar-20,N/A,Newspaper,https://drive.google.com/file/d/1wDSsSVnK7FiKLRakZs1hKJLfJ0qFfqHa/view?usp=share_link,1,1,1,1,0,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2020,New fund at Yakima Valley Community Foundation supports work on justice for MMIW and their families,"Yakima, Yakima County, WA","Yakima, Yakima County, WA, National ",Access World News,8-Mar-20,N/A,Newspaper,https://drive.google.com/file/d/1cgkvf8IvO5crhNfI8fn8gER6XV5o8sp5/view?usp=share_link,1,1,1,1,0,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2020,"Vibrant murals on Yakamart building bring awareness to missing, murdered indigenous people","Yakima, Yakima County, WA","Toppenish, Yakima County, WA",Access World News,11-Feb-20,N/A,Newspaper,https://drive.google.com/file/d/1wkoxyj2WwT5goIUgtotWkQ9dZmOOvSCX/view?usp=share_link,1,1,1,1,0,,,,,,1,1,0,,,,,,,,,,,,
Meyers,Donald W. ,,Yakima Herald Republic ,2020,Women's rights advocates take to Yakima streets for yearly march,"Yakima, Yakima County, WA","Yakima, Yakima County, WA",Access World News,18-Jan-20,N/A,Newspaper,https://drive.google.com/file/d/1u_xRlpSMpspPr16BU9A-8GJ4RHwVMes5/view?usp=share_link,1,1,0,1,0,,,,,,1,0,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,Free self-defense classes for girls and women set for Jan. 4 at Yakama National Tribal School,"Yakima, Yakima County, WA","Toppenish, Yakima County, WA",Access World News,30-Dec-19,N/A,Newspaper,https://drive.google.com/file/d/1BZtrmyf3yJhpNCyHRyGWW6-cOgL9-WhQ/view?usp=share_link,1,1,1,1,0,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,Tribal leaders gather for summit with Indian Affairs secretary on missing and murdered indigenous women,"Yakima, Yakima County, WA","Toppenish, Yakima County, WA, Washington State",Access World News,16-Dec-19,N/A,Newspaper,https://drive.google.com/file/d/1SvjW0N_9LrPvTqY2n70EDSgfWHUxiU8g/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Muir,Pat,,Yakima Herald Republic ,2019,Toppenish vigil urges public to remember missing and murdered Native people,"Yakima, Yakima County, WA","Toppenish, Yakima County, WA",Access World News,2-Dec-19,N/A,Newspaper,https://drive.google.com/file/d/1mMT8TldJKEDfbc7c6rxmFm9yJC6Li5Dz/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,"Senate committee passes Savanna's Act, sending it to full Senate","Yakima, Yakima County, WA","Washington, D.C.",Access World News,20-Nov-19,N/A,Newspaper,https://drive.google.com/file/d/14SAkqKPXd5iqQmkjPmfG61Q7-Zm5nr1j/view?usp=share_link,1,0,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,"One year after meeting on missing women, mother still wonders about her daughter's death ","Yakima, Yakima County, WA","Yakima, Yakima County, WA",Access World News,29-Oct-19,N/A,Newspaper,https://drive.google.com/file/d/1r7noAScxzPhFxJuzC3FsjfCv1DsUnmAF/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,Hour-long talk devoted to missing and murdered indigenous women on House floor,"Yakima, Yakima County, WA","Washington, D.C.",Access World News,17-Oct-19,N/A,Newspaper,https://drive.google.com/file/d/1O8GZYq3GwkeWcBZRXe2kIT2WVoyxFatR/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,Yakama women bring awareness to missing and murdered indigenous women,"Yakima, Yakima County, WA","Pendleton, Umatilla County, OR",Access World News,16-Oct-19,N/A,Newspaper,https://drive.google.com/file/d/1pBpaU5r8Ca1hGfJfDLKmcRWPNs06OK36/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,"Vigil honors victims of domestic violence, along with missing, murdered indigenous women","Yakima, Yakima County, WA","Yakima, Yakima County, WA",Access World News,14-Oct-19,N/A,Newspaper,https://drive.google.com/file/d/1RWjLzuXv0H8az1D1lzMe-dbMarVPSLAn/view?usp=share_link,1,1,1,1,0,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,"""We miss you every day, every second.""","Yakima, Yakima County, WA","Yakama Reservation, Yakima County, WA",Access World News,2-Oct-19,N/A,Newspaper,https://drive.google.com/file/d/1WjZoeY7jY41nU9sLe7A05-DbqQjBrtyu/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,She's my baby. Always will be my baby:' Woman raises awareness for missing granddaughter,"Yakima, Yakima County, WA","Wapato, Yakima County, WA, Yakama Reservation, Yakima County, WA",Access World News,26-Sep-19,N/A,Newspaper,https://drive.google.com/file/d/15-PfFQiqc37ksA7f5zNvK4EimPP963cX/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Yakama Nation MMIW Committee,,,Yakima Herald Republic ,2019,Column: We must prevent further violence against Native women and girls,"Yakima, Yakima County, WA","Yakama Reservation, Yakima County, WA",Access World News,22-Sep-19,N/A,Newspaper,https://drive.google.com/file/d/1gqvX7figQMJq1f0BTaHuGwmKrbcu7Kea/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,Group says state study on missing Native women 'severely lacking',"Yakima, Yakima County, WA","Washington State, Yakama Reservation, Yakima County, WA",Access World News,21-Sep-19,N/A,Newspaper,https://drive.google.com/file/d/1Psi9Z7scYNT1bFgiuXGnXKyGEs-zJzgN/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,Puyallup woman whose mother disappeared speaks out for missing indigenous women ,"Yakima, Yakima County, WA","La Grande, Union County, OR, Washington State",Access World News,13-Sep-19,N/A,Newspaper,https://drive.google.com/file/d/15SFhJemu6qoQedB7PyT7WsOl11BkmwNu/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,Loved ones of missing and muirdered men and boys also wait for answers,"Yakima, Yakima County, WA","Toppenish, Yakima County, WA, Seattle, King County, WA",Access World News,19-Aug-19,N/A,Newspaper,https://drive.google.com/file/d/1EGml3DVKLlg2mGKX9fhW79PQk-cUULz4/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,Missing woman found dead; September trial set for accused killer,"Yakima, Yakima County, WA","Toppenish, Yakima County, WA, Yakama Reservation, Yakima County, WA",Access World News,15-Aug-19,N/A,Newspaper,https://drive.google.com/file/d/1x9YCf-ZXWc7-cD4SO-UjNXtLFwgf-gUP/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,Murray visits with Yakama leaders on MMIW crisis,"Yakima, Yakima County, WA","Toppenish, Yakima County, WA, Washington State",Access World News,9-Aug-19,N/A,Newspaper,https://drive.google.com/file/d/1kfS0ms6jYBdnNxVXW1vX7ZKSsRuJqbDn/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,"Though still unidentifiedd, body found near Wapato was male","Yakima, Yakima County, WA","Wapato, Yakima County, WA, Yakama Reservation, Yakima County, WA",Access World News,6-Aug-19,N/A,Newspaper,https://drive.google.com/file/d/1yZZjXCLaJCY1IZM8slscWrqJJqzZsmEM/view?usp=share_link,1,0,1,1,0,,,,,,0,0,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,"As coroner pursues other ways to indentify remains found on river island, families hope their missing loved one is coming home ","Yakima, Yakima County, WA","Yakama Reservation, Yakima County, WA",Access World News,5-Aug-19,N/A,Newspaper,https://drive.google.com/file/d/1ahUMCBug4RIsX7n2zznarxnvUgXpMqPS/view?usp=share_link,1,0,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,"Investigation continues into death of Rosenda Strong with more examinations, tests","Yakima, Yakima County, WA","Wapato, Yakima County, WA, Yakama Reservation, Yakima County, WA",Access World News,1-Aug-19,N/A,Newspaper,https://drive.google.com/file/d/1dKwsiplojHHu4HFphUwwUg7ckj5gzWQq/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,"Newhouse addresses U.S. House about Rosenda Strong, urges action on MMIW","Yakima, Yakima County, WA","Toppenish, Yakima County, WA, Yakama Reservation, Yakima County, WA",Access World News,18-Jul-19,N/A,Newspaper,https://drive.google.com/file/d/1xaeTX9rCUyE2NSb7CW9mTMaioHsevzYs/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,Football player wears handprint on his face to bring attention to missing Native women,"Yakima, Yakima County, WA","Toppenish, Yakima County, WA",Access World News,14-Jul-19,N/A,Newspaper,https://drive.google.com/file/d/1hwxywbnCNqVD8zMFSMdee7BSOAqYNxOf/view?usp=share_link,1,1,1,1,0,,,,,,1,1,1,,,,,,,,,,,,
The Columbian of Vancouver,,,Yakima Herald Republic ,2019,"Native American women deserve action, justice ","Yakima, Yakima County, WA","Yakima, Yakima County, WA, Washington State, National ",Access World News,25-Jun-19,N/A,Newspaper,https://drive.google.com/file/d/1QgDplupzICdTbLUYfmXzNjpq5fDqBhrf/view?usp=share_link,1,1,1,1,1,,,,,,1,0,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,"In the Yakima Valley, a group seeks answers, solutions for MMIW crisis ","Yakima, Yakima County, WA","Yakama Reservation, Yakima/Kittitas County, WA, Washington State, National ",Access World News,13-Jun-19,N/A,Newspaper,https://drive.google.com/file/d/128xWIvwOh7FMvzaDiciSF-a3ISeunCjy/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
The Yakima Herald-Republic Editorial Board ,,,Yakima Herald Republic ,2019,Editorial: Congress needs a field trip to the Yakama Nation ,"Yakima, Yakima County, WA","Yakama Reservation, Yakima County, WA, Washington State, National ",Access World News,12-Jun-19,N/A,Newspaper,https://drive.google.com/file/d/13KCZEtLlcqwQ6ZQcrmqrtGepL5NnpFBU/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,WSP report on missing and murdered Native women says more coordination is needed,"Yakima, Yakima County, WA","Yakima County, WA, Washington State",Access World News,3-Jun-19,N/A,Newspaper,https://drive.google.com/file/d/1Z7ErriXuSPxgO6Iql9z6cKY2IyWQ57yb/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,"Families meet with congressman about mising, murdered Native women ","Yakima, Yakima County, WA","White Swan, Yakima County, WA, Yakama Reservation, Yakima County, WA, Washington State",Access World News,30-May-19,N/A,Newspaper,https://drive.google.com/file/d/1dZavGRyhuzuumqxcxdIfVa0S_oaZfcTk/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Yakima Herald-Republic Editorial Board,,,Yakima Herald Republic ,2019,Editorial: Congress should not delay in passing Savanna's Act,"Yakima, Yakima County, WA","Washington State, National",Access World News,9-May-19,N/A,Newspaper,https://drive.google.com/file/d/1ZS6DixHlGHaDTJ3yhuYUIrO06yO1oxrQ/view?usp=share_link,1,1,1,1,1,,,,,,0,0,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,Hundreds gather in support of missing and murdered indigenous women and girls on the Yakama Reservation and beyond ,"Yakima, Yakima County, WA","Toppenish, Yakima County, WA, Yakama Reservation, Yakima County, WA, Washington State",Access World News,5-May-19,N/A,Newspaper,https://drive.google.com/file/d/1R6Fm0-HjWQqBJKNFsI5NrxU2FC1mpwS2/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Washines,Emily,Glen Hamilton ,Yakima Herald Republic,2019,Saturday Soapbox: Time to correct the record on Yakama War,"Yakima, Yakima County, WA","Yakama Reservation, Yakima County, WA, Washington State, National ",Access World News,3-May-19,N/A,Newspaper,https://drive.google.com/file/d/1szzXx2WwNPUcRM_QU_0kzUKHMaeVE77o/view?usp=share_link,1,0,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic ,2019,"Toppenish events Sunday to raise awareness for missing, murdered indigenous women","Yakima, Yakima County, WA","Toppenish, Yakima County, WA, Yakama Reservation, Yakima County, WA, Washington State",Access World News,3-May-19,N/A,Newspaper,https://drive.google.com/file/d/1e_3WGX7PdcQyyZbwxPl7IUG5ep0y2Tqm/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Ayer,Tammy,,Yakima Herald Republic,2019,Governor to sign Mosbrucker bill,"Yakima, Yakima County, WA",Washington State,Access World News,17-Apr-19,N/A,Newspaper,https://drive.google.com/file/d/1CfuVowlgHaXXuqbMsgq4bXXE0_62r-P7/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
